RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,SALE_PRICE,BUILDING_AGE,LOG_SALE_PRICE,PREDICTED_PRICE,MARGIN,OPTIMAL_LIST_PRICE
3.0,2899.0,200000.0,99.0,12.206072645530174,1240813.0,0.060000000000000005,1315261.0
3.0,2540.0,1580000.0,104.0,14.27293540500315,1174846.0,0.060000000000000005,1245336.0
3.0,2789.0,1630000.0,104.0,14.304090572782945,1242127.0,0.060000000000000005,1316654.0
3.0,4216.0,1980000.0,27.0,14.498607402670718,1151204.0,0.060000000000000005,1220276.0
3.0,3105.0,1300000.0,123.0,14.077874822431765,1469622.0,0.060000000000000005,1557800.0
3.0,3118.0,1660000.0,64.0,14.322328160332725,1088854.0,0.060000000000000005,1154186.0
3.0,2850.0,1150000.0,104.0,13.955272500339433,1259189.0,0.060000000000000005,1334740.0
3.0,1860.0,1189000.0,69.0,13.988623175672918,843190.0,0.05,885350.0
4.0,3780.0,1990000.0,77.0,14.503645196700676,1210438.0,0.060000000000000005,1283064.0
12.0,13500.0,2120000.0,96.0,14.566926646648195,4908815.0,0.060000000000000005,5203344.0
1.0,1592.0,1013159.0,99.0,13.828583730440123,1151755.0,0.05,1209343.0
1.0,2094.0,1180000.0,31.0,13.981024996441848,908995.0,0.060000000000000005,963534.0
1.0,1672.0,1625000.0,125.0,14.301018373745976,1339921.0,0.05,1406917.0
1.0,2000.0,1601500.0,114.0,14.28645124803135,1362764.0,0.05,1430902.0
1.0,1254.0,890000.0,99.0,13.698976741708323,1067900.0,0.05,1121295.0
1.0,1192.0,1100000.0,99.0,13.9108207377686,1053195.0,0.05,1105854.0
1.0,1192.0,1150000.0,99.0,13.955272500339433,1053195.0,0.05,1105854.0
1.0,1192.0,1288000.0,99.0,14.068601185646436,1053195.0,0.05,1105854.0
1.0,1456.0,570000.0,94.0,13.253391639810733,1088947.0,0.05,1143394.0
1.0,1456.0,985000.0,94.0,13.800396920154226,1088947.0,0.05,1143394.0
1.0,1248.0,1049000.0,104.0,13.863347887378435,1094188.0,0.05,1148897.0
1.0,1916.0,1600000.0,125.0,14.28551418721001,1415072.0,0.05,1485826.0
1.0,2161.0,1225000.0,125.0,14.018451401960965,1494773.0,0.060000000000000005,1584459.0
1.0,2400.0,1700000.0,114.0,14.346138809026444,1490295.0,0.060000000000000005,1579713.0
1.0,960.0,590000.0,94.0,13.287877815881902,974610.0,0.04,1013594.0
1.0,1673.0,850000.0,84.0,13.652991628466498,1085915.0,0.05,1140211.0
1.0,1076.0,780000.0,99.0,13.567049198665774,1026223.0,0.04,1067272.0
1.0,1224.0,1014000.0,99.0,13.829413463133266,1060759.0,0.05,1113797.0
1.0,1840.0,1100000.0,123.0,13.9108207377686,1377017.0,0.05,1445868.0
1.0,1938.0,1050000.0,99.0,13.864300722133706,1244420.0,0.05,1306641.0
1.0,1938.0,1100000.0,99.0,13.9108207377686,1244420.0,0.05,1306641.0
1.0,1520.0,1050000.0,99.0,13.864300722133706,1133358.0,0.05,1190026.0
1.0,1075.0,1205000.0,99.0,14.001990124906893,1025993.0,0.04,1067033.0
1.0,1560.0,1200000.0,99.0,13.997832114758229,1143542.0,0.05,1200719.0
1.0,1810.0,1270000.0,119.0,14.054527458434775,1340017.0,0.05,1407017.0
1.0,1456.0,1290000.0,99.0,14.070152776337855,1117251.0,0.05,1173113.0
1.0,2080.0,1150000.0,109.0,13.955272500339433,1352219.0,0.060000000000000005,1433352.0
1.0,1617.0,999000.0,99.0,13.81451005763069,1158213.0,0.05,1216124.0
1.0,1216.0,1265000.0,99.0,14.050582680143757,1058863.0,0.05,1111806.0
1.0,4121.0,1450000.0,114.0,14.187074114396758,2189935.0,0.060000000000000005,2321331.0
1.0,1690.0,1170000.0,104.0,13.972514306773938,1207877.0,0.05,1268271.0
1.0,2640.0,1575000.0,125.0,14.269765830241871,1663796.0,0.060000000000000005,1763623.0
1.0,768.0,220000.0,5.0,12.301382825334498,591316.0,0.06,626795.0
1.0,1720.0,1080000.0,99.0,13.892471599100402,1185203.0,0.05,1244463.0
1.0,1688.0,1375000.0,99.0,14.133964289082808,1176751.0,0.05,1235589.0
1.0,2205.0,1500000.0,79.0,14.22097566607244,1192132.0,0.060000000000000005,1263660.0
1.0,2250.0,1900000.0,34.0,14.457364444136669,955872.0,0.060000000000000005,1013224.0
1.0,2650.0,1444000.0,125.0,14.182927598434908,1667521.0,0.060000000000000005,1767572.0
1.0,1614.0,1260000.0,119.0,14.04662227892766,1282546.0,0.05,1346673.0
1.0,1632.0,998000.0,104.0,13.813508555293602,1192310.0,0.05,1251926.0
1.0,1638.0,1510000.0,99.0,14.227620208791107,1163666.0,0.05,1221849.0
1.0,1144.0,1050000.0,99.0,13.864300722133706,1041949.0,0.05,1094046.0
1.0,884.0,1300000.0,99.0,14.077874822431765,983089.0,0.04,1022413.0
1.0,1472.0,1100000.0,99.0,13.9108207377686,1121256.0,0.05,1177319.0
1.0,1472.0,1685000.0,99.0,14.3372761217686,1121256.0,0.05,1177319.0
1.0,1584.0,1400000.0,99.0,14.151982794585487,1149697.0,0.05,1207181.0
1.0,1480.0,1350000.0,104.0,14.115615150414612,1152460.0,0.05,1210083.0
1.0,1573.0,1295000.0,104.0,14.074021253115776,1176681.0,0.05,1235515.0
1.0,1480.0,940000.0,104.0,13.753635154246187,1152460.0,0.05,1210083.0
1.0,2080.0,1430000.0,104.0,14.17318500223609,1317963.0,0.060000000000000005,1397041.0
1.0,1816.0,1355000.0,104.0,14.119312012295937,1242399.0,0.05,1304519.0
1.0,1816.0,1450000.0,104.0,14.187074114396758,1242399.0,0.05,1304519.0
1.0,1320.0,1350000.0,99.0,14.115615150414612,1083780.0,0.05,1137969.0
1.0,1200.0,1200000.0,99.0,13.997832114758229,1055081.0,0.05,1107835.0
1.0,2000.0,2150000.0,99.0,14.580978400103845,1261795.0,0.05,1324885.0
1.0,1472.0,1315000.0,99.0,14.089347223594002,1121256.0,0.05,1177319.0
1.0,1536.0,1280000.0,99.0,14.0623706358958,1137420.0,0.05,1194291.0
1.0,1836.0,1675000.0,94.0,14.331323723241304,1185539.0,0.05,1244816.0
1.0,4500.0,4000000.0,89.0,15.201804919084164,2096638.0,0.060000000000000005,2222436.0
1.0,1670.0,1650000.0,104.0,14.316285845876763,1202487.0,0.05,1262611.0
